127.0.0.1 - - [14/Jun/2023:19:34:24 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:34:27 +0530] "GET /TechTonic/Search HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:34:27 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 200 14260
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:34:28 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:34:28 +0530] "GET /TechTonic/header.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:34:28 +0530] "GET /TechTonic/script/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:34:28 +0530] "GET /TechTonic/imgs/tech.png HTTP/1.1" 200 57145
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:34:59 +0530] "GET /TechTonic/Search HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:01 +0530] "GET /TechTonic/Search HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:01 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 200 14260
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:01 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:02 +0530] "GET /TechTonic/header.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:02 +0530] "GET /TechTonic/imgs/tech.png HTTP/1.1" 200 57145
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:03 +0530] "GET /TechTonic/Search HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:03 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 200 14260
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:03 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:03 +0530] "GET /TechTonic/header.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:03 +0530] "GET /TechTonic/imgs/tech.png HTTP/1.1" 200 57145
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:04 +0530] "GET /TechTonic/Search HTTP/1.1" 200 5414
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:04 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 200 14260
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:04 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:06 +0530] "GET /TechTonic/header.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:06 +0530] "GET /TechTonic/imgs/tech.png HTTP/1.1" 200 57145
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:35:07 +0530] "GET /TechTonic/Search HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:32 +0530] "GET /TechTonic/Search HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:32 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 200 14260
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:33 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:33 +0530] "GET /TechTonic/header.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:34 +0530] "GET /TechTonic/imgs/tech.png HTTP/1.1" 200 57145
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:36 +0530] "GET /TechTonic/Search HTTP/1.1" 200 5117
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:38 +0530] "GET /TechTonic/Search HTTP/1.1" 200 5220
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:39 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 200 14260
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:39 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:39 +0530] "GET /TechTonic/header.html HTTP/1.1" 200 2721
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:37:39 +0530] "GET /TechTonic/imgs/tech.png HTTP/1.1" 200 57145
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:39:10 +0530] "GET /TechTonic/Search HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:39:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [14/Jun/2023:19:39:13 +0530] "GET /TechTonic/Tag HTTP/1.1" 200 5220
