127.0.0.1 - - [25/Jun/2023:13:33:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/Index HTTP/1.1" 200 30039
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/7f15bfcd-202a-46c3-bfc5-84de3beab1e9.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/79f723fe-9b26-4153-b009-1f13b6ce4f10.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/1e0c4665-957e-418d-923c-83e5dd8ee388.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/e701a299-03e9-4b26-a9c2-08f36a600674.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/166f9ee3-03b3-4ea9-8e3e-4e0bf50f3f75.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/c26dce84-0af1-4b30-9412-945731856312.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/211acd60-f3d3-4fbb-88c9-7ceab13c7337.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/8f25a157-c132-4424-a2d8-26200a77278d.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/5a5e999d-0a58-4cbd-9a91-4ba6939da9b3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/8692daae-6465-462a-8b19-4b3542663488.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Jun/2023:13:33:52 +0530] "GET /TechTonic/imgs/article_images/09b9469a-1c84-4ea2-99cc-711d7b680381.jpg HTTP/1.1" 304 -
