0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/imgs/article_images/f83016ce-eff9-4072-a7e3-04cccf6b621a.jpg HTTP/1.1" 200 68596
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/imgs/article_images/8e9a7c4c-f26a-4986-b4d7-4d63b23adf54.jpg HTTP/1.1" 200 109685
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/imgs/article_images/gsmarena_001.jpg HTTP/1.1" 200 189002
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/imgs/article_images/nothing-phone-2.jpg HTTP/1.1" 200 14217
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/imgs/article_images/news.jpg HTTP/1.1" 200 21336
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/imgs/article_images/TEch%20Tonic.png HTTP/1.1" 200 142330
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/header.html HTTP/1.1" 200 3224
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/footer.html HTTP/1.1" 200 3941
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:57 +0530] "GET /TechTonic/imgs/tech.png HTTP/1.1" 200 57145
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/Index HTTP/1.1" 200 10605
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/styles/style.css HTTP/1.1" 200 21287
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/imgs/article_images/f83016ce-eff9-4072-a7e3-04cccf6b621a.jpg HTTP/1.1" 200 68596
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/imgs/article_images/8e9a7c4c-f26a-4986-b4d7-4d63b23adf54.jpg HTTP/1.1" 200 109685
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/imgs/article_images/gsmarena_001.jpg HTTP/1.1" 200 189002
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/imgs/article_images/nothing-phone-2.jpg HTTP/1.1" 200 14217
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/imgs/article_images/news.jpg HTTP/1.1" 200 21336
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/imgs/article_images/4vFVtAWgdT73Tgcatc6mJg-1200-80.jpg.jpg HTTP/1.1" 200 92330
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/imgs/article_images/TEch%20Tonic.png HTTP/1.1" 200 142330
0:0:0:0:0:0:0:1 - - [23/Jun/2023:21:08:58 +0530] "GET /TechTonic/footer.html HTTP/1.1" 200 3941
